Error_Tag,Count
"agrnum,gov",5
"hyphen,ortho",5
"agrpers,tense",5
"deriv,ortho",5
"miss,asp",5
"prep,agrcase",5
"morph,miss",5
"constr,wo,lex",5
"num,ortho",5
"agrcase,gov",5
"prep,lex,gov",5
"aux,lex",5
"subst,lex",5
"lex,constr,not-clear",5
"deriv,extra",5
"asp,morph",5
"lex,space",5
"disc,constr,extra",5
"conj,gov",5
"refl,constr",5
"agrnum,agrgender",5
"impers,miss",5
"miss,gov",5
"morph,infl,miss",5
"constr,num",5
"agrcase,syntax",5
"space,miss",5
"hyphen,space",5
"constr,ref",5
"lex,num",5
"space,lex",5
"misspell,deriv",5
"miss,prep,agrcase",5
"agrgender,brev",5
"agrcase,ref",5
"transp,ortho",5
"constr,lex,transfer",5
"miss,disc",5
"ortho,morph,deriv",4
"prep,extra,gov",4
"tense,aux",4
"lex,punct",4
"ref,gender",4
"infl,altern",4
"gender,agrgender",4
"gov,not-clear",4
"agrstr,prep",4
"miss,infl",4
"hyphen,agrcase",4
"wo,disc",4
"syntax,constr,neg,miss",4
"asp,agrnum",4
"constr,aux",4
"extra,aux",4
"ref,miss,constr",4
"lex,cs",4
"gov,impers",4
"syntax,constr,prep,extra,transfer",4
"prep,extra,transfer",4
"miss,space",4
"ref,agrgender",4
"brev,syntax",4
"gov,extra",4
"deriv,transfer",4
"lex,brev",4
"gov,agrstr",4
"wo,punct",4
"deriv,misspell",4
"gov,constr,transfer",4
"par,idiom",4
"agrnum,transfer",4
"lex,miss,constr",4
"brev,lex",4
"morph,ortho",4
"ref,morph",4
"disc,constr,wo",4
"transp,wo",4
"gov,agrgender",4
"prep,miss,constr",4
"syntax,constr,transfer",4
"asp,agrgender",4
"agrstr,ref,miss",4
"ortho,constr",4
"extra,agrcase",4
"constr,asp",4
"prep,agrstr",4
"conj,space",4
"transfer,syntax",4
"hyphen,gov",4
"disc,extra",4
"lex,aux",4
"prep,ortho",4
"ortho,refl",4
"syntax,ref,miss",4
"translit,ortho",4
"agrcase,miss",4
